row_num,Star_Name,Distance,Mass,Radius,Gravity
158,Sun,0.000015813,1.0,1.0,274.2691614595739
160,Alpha Centauri,0004.4,1.1,1.2,209.51116500384123
162,Vega,0025,2.2,2.7,82.76984296448046
164,Rigel,0860,23.0,78.9,1.01332978543217
166,Betelgeuse,0640[1],20.0,950.0,0.0060779869575528
168,Hadar,0390,10.5,8.6,38.937617567949246
169,Altair,0017,1.8,1.8,152.37175636642996
171,Aldebaran,0065,1.5,44.0,0.21250193294905
173,Spica,0260,11.43,7.47,56.18003500809
175,Fomalhaut,0025,1.9,1.8,160.8368539423427
178,Regulus,0077,3.8,3.1,108.45190567600218
180,Shaula,0700,14.5,8.8,51.354633796020416
182,Gacrux,0088,1.5,84.0,0.0583055190177665
184,Elnath,0130,5.0,4.2,77.74069202368877
187,Gamma Velorum,"01,100",9.0,6.0,68.56729036489348
189,Alioth,0081,2.9,4.2,45.08960137373948
191,Dubhe,0120,4.25,30.0,1.2951599291146547
193,Wezen,"1,600",17.0,200.0,0.1165643936203189
195,Kaus Australis,0140,3.5,6.8,20.75999275753696
197,Alkaid,0104,6.1,3.4,144.72680665254333
199,Atria,0390,7.0,92.0,0.2268294104698744
201,Peacock,0180,5.9,4.8,70.23385645015132
203,Mirzam,0500,13.5,10.0,37.02633679704249
205,Alphard,0180,3.0,50.0,0.3291229937514887
207,Scheat,0196,2.1,95.0,0.0638188630543053
209,Rasalgethi,0360,2.8,280.0,0.0097953271949847
210,Tau Ceti,011.9,0.783,0.893,269.29967110479345
211,Delta Pavonis,019.92,0.991,1.22,182.61269753187165
213,V382 Carinae,"08,900",20.0,485.0,0.0233197288944265
215,Mu Cephei,"06,000",19.2,972.0,0.0055737267989549
216,Titawin,044.25,1.27,1.48,159.02202111653529
218,61 Cygni,011.41,0.7,0.665,434.14192553949175
220,R Coronae Borealis,"04,566",0.85,85.0,0.0322669601717145
221,54 Piscium,036.1,0.76,0.94,235.9037604224493
223,RW Cephei,"014,000",13.9,1158.0,0.0028429856016179
225,II Pegasi,0130,0.8,3.4,18.98056480689093
227,Pistol Star,"025,000",100.0,320.0,0.2678409779878652
229,Barnard's Star,05.98,0.14,0.2,959.9420651085088
231,KIC 8462852,"01,470",1.43,1.58,157.10819615734286
233,Melnick 42,"0163,000",189.0,21.1,116.4324060911917
235,VFTS 352,"0164,000",57.48,14.47,75.29335961731135
236,YBP 1194,"02,772",1.01,0.99,282.6363157577489
238,VB 10,018.72,0.075,0.1,2057.0187109468043
240,2MASS J0523-1403,040.3,0.07,0.086,6.316657652785291e-10
